tenure,MonthlyCharges,TotalCharges,Contract,InternetService
35,49.2,1701.65,Month-to-month,DSL
15,75.1,1151.55,Month-to-month,Fiber optic
13,40.55,590.35,Two year,DSL
26,73.5,1905.7,Two year,DSL
1,44.55,44.55,Month-to-month,DSL
66,79.5,5196.1,Two year,DSL
1,19.8,19.8,Month-to-month,No
40,56.6,2379.1,Month-to-month,DSL
65,59.8,3808.2,Two year,DSL
60,80.55,4847.05,One year,DSL
5,59.9,287.85,Month-to-month,DSL
5,49.4,232.55,Month-to-month,DSL
2,50.95,123.05,Month-to-month,DSL
30,67.6,2000.2,Month-to-month,DSL
36,95.4,3474.2,Month-to-month,Fiber optic
55,69.05,3842.6,Two year,Fiber optic
31,84.75,2613.4,Month-to-month,Fiber optic
28,35.9,973.65,Month-to-month,DSL
16,18.95,326.8,Two year,No
6,20.15,130.5,Month-to-month,No
27,85.9,2220.1,One year,Fiber optic
58,25.3,1474.35,Two year,No
72,104.9,7732.65,Two year,Fiber optic
28,35.75,961.4,Month-to-month,DSL
40,85.05,3355.65,One year,Fiber optic
1,20.5,20.5,Month-to-month,No
5,80.0,412.5,Month-to-month,Fiber optic
1,69.2,69.2,Month-to-month,Fiber optic
12,105.3,1275.65,Month-to-month,Fiber optic
5,96.1,453.4,Month-to-month,Fiber optic
71,86.1,6045.9,Two year,DSL
3,76.95,228.4,Month-to-month,Fiber optic
30,19.65,655.85,Month-to-month,No
25,20.2,507.9,One year,No
52,24.55,1331.05,Two year,No
46,110.0,4874.8,One year,Fiber optic
9,70.5,597.9,Month-to-month,Fiber optic
19,86.85,1564.4,Month-to-month,Fiber optic
12,49.4,611.65,Month-to-month,DSL
45,98.7,4525.8,One year,Fiber optic
36,104.5,3684.95,Month-to-month,Fiber optic
38,95.1,3691.2,Month-to-month,Fiber optic
1,19.2,19.2,Month-to-month,No
10,98.5,1037.75,Month-to-month,Fiber optic
13,44.8,559.2,Month-to-month,DSL
18,82.0,1425.45,One year,DSL
37,45.4,1593.1,Two year,DSL
5,20.35,122,Month-to-month,No
11,74.95,815.5,Month-to-month,Fiber optic
64,99.15,6171.2,Month-to-month,Fiber optic
1,55.55,55.55,Month-to-month,DSL
37,92.5,3473.4,Month-to-month,Fiber optic
48,105.25,4997.5,Month-to-month,Fiber optic
20,94.55,1899.65,Month-to-month,Fiber optic
26,69.5,1800.05,Month-to-month,DSL
30,19.4,578.5,Two year,No
69,66.9,4577.9,Two year,DSL
63,89.4,5597.65,Two year,DSL
5,19.35,126.05,Month-to-month,No
39,20.45,790,Two year,No
4,101.7,364.55,Month-to-month,Fiber optic
60,101.15,6067.4,Two year,Fiber optic
19,103.3,2012.7,Month-to-month,Fiber optic
11,102.0,1145.35,Month-to-month,Fiber optic
31,99.95,3186.65,Month-to-month,Fiber optic
30,84.3,2438.6,Month-to-month,Fiber optic
53,24.6,1279,Two year,No
5,89.35,461.7,Month-to-month,Fiber optic
51,79.6,3974.7,One year,Fiber optic
71,89.3,6388.65,Two year,DSL
61,25.0,1498.35,Two year,No
8,74.5,606.55,Month-to-month,Fiber optic
10,54.95,568.85,Month-to-month,DSL
12,49.85,617.15,Month-to-month,DSL
66,63.85,4264.6,Month-to-month,DSL
24,60.45,1440.75,Month-to-month,DSL
4,56.5,235.1,Month-to-month,DSL
4,88.95,355.2,Month-to-month,Fiber optic
35,55.6,2016.45,One year,DSL
45,85.7,3778.1,Month-to-month,Fiber optic
65,110.0,7138.65,One year,Fiber optic
14,80.9,1152.8,Month-to-month,Fiber optic
61,50.7,3088.75,One year,DSL
68,80.35,5375.15,Two year,Fiber optic
23,57.75,1282.85,One year,DSL
55,81.55,4509.5,Month-to-month,Fiber optic
69,24.45,1718.2,Two year,No
7,81.25,580.1,Month-to-month,DSL
72,79.05,5730.7,Two year,Fiber optic
61,49.7,2961.4,One year,DSL
64,80.3,5017.7,One year,Fiber optic
32,93.2,2931,Month-to-month,Fiber optic
1,79.55,79.55,Month-to-month,Fiber optic
3,82.3,214.4,Month-to-month,Fiber optic
3,20.2,50.6,Month-to-month,No
72,84.4,6096.45,Two year,DSL
26,29.8,786.5,Month-to-month,DSL
39,100.45,3801.7,Two year,Fiber optic
1,19.55,19.55,Month-to-month,No
1,19.5,19.5,Month-to-month,No
56,88.9,4968,One year,Fiber optic
43,107.55,4533.9,One year,Fiber optic
1,25.4,25.4,Month-to-month,No
29,70.9,1964.6,One year,DSL
2,82.0,184.65,Month-to-month,Fiber optic
68,79.6,5461.45,One year,Fiber optic
67,89.55,6373.1,Month-to-month,Fiber optic
19,24.9,467.7,Two year,No
66,56.75,3708.4,Two year,DSL
4,29.05,129.6,Month-to-month,DSL
9,19.75,210.65,Two year,No
53,103.85,5485.5,Month-to-month,Fiber optic
23,19.5,470.2,Month-to-month,No
50,108.55,5610.7,One year,Fiber optic
2,74.95,151.75,Month-to-month,Fiber optic
59,20.35,1267,One year,No
63,83.5,5435,Two year,DSL
25,71.05,1837.7,Month-to-month,DSL
14,80.45,1072,Month-to-month,Fiber optic
65,67.05,4309.55,One year,DSL
69,56.55,3952.65,Two year,DSL
21,74.05,1565.7,Month-to-month,Fiber optic
43,91.25,4013.8,One year,Fiber optic
71,92.0,6585.2,One year,Fiber optic
19,25.35,566.1,Month-to-month,DSL
40,19.65,830.25,Two year,No
9,83.3,803.3,Month-to-month,Fiber optic
58,103.25,6017.65,One year,Fiber optic
1,19.9,19.9,Month-to-month,No
47,113.45,5317.8,One year,Fiber optic
58,84.3,4916.4,Two year,DSL
40,102.65,4108.15,Month-to-month,Fiber optic
41,68.6,2877.05,One year,DSL
67,100.9,6733.15,One year,Fiber optic
34,99.85,3343.15,One year,Fiber optic
3,19.1,53.05,Month-to-month,No
60,116.05,6925.9,Two year,Fiber optic
8,92.1,729.95,Month-to-month,Fiber optic
15,74.9,1107.25,Month-to-month,Fiber optic
68,102.1,7149.35,Two year,Fiber optic
71,25.45,1789.65,Two year,No
58,79.8,4526.85,Month-to-month,Fiber optic
2,19.2,37.2,Month-to-month,No
14,89.65,1208.35,Month-to-month,Fiber optic
71,20.9,1493.2,Two year,No
14,100.55,1415.55,Month-to-month,Fiber optic
6,50.95,307.6,Month-to-month,DSL
15,69.5,1071.4,Month-to-month,DSL
57,97.55,5598,One year,Fiber optic
66,61.15,4017.45,Two year,DSL
69,89.95,6143.15,Month-to-month,Fiber optic
68,55.9,3848.8,One year,DSL
56,94.8,5264.3,One year,Fiber optic
35,99.05,3395.8,Month-to-month,Fiber optic
43,56.15,2499.3,Month-to-month,DSL
31,66.4,2019.8,Month-to-month,DSL
33,58.45,1955.4,One year,DSL
1,69.35,69.35,Month-to-month,Fiber optic
44,100.1,4378.35,Two year,Fiber optic
57,53.45,3053,One year,DSL
70,64.95,4551.5,One year,DSL
1,20.55,20.55,Month-to-month,No
55,55.25,3119.9,Two year,DSL
29,94.45,2653.65,Month-to-month,Fiber optic
33,60.9,2033.85,Month-to-month,DSL
4,74.95,308.7,Month-to-month,Fiber optic
70,40.05,2799.75,Two year,DSL
35,25.6,901.25,Month-to-month,No
2,45.85,105.6,Month-to-month,DSL
10,89.8,914.3,Month-to-month,Fiber optic
1,74.6,74.6,Month-to-month,Fiber optic
31,20.4,609.1,Two year,No
30,90.5,2595.85,Month-to-month,Fiber optic
60,93.25,5774.55,Month-to-month,Fiber optic
72,66.85,4758.8,Two year,DSL
4,20.7,83.75,Month-to-month,No
4,69.55,284.9,Month-to-month,Fiber optic
25,99.5,2369.05,Month-to-month,Fiber optic
70,76.95,5289.8,Two year,DSL
1,20.45,20.45,Month-to-month,No
19,19.9,367.55,Month-to-month,No
1,19.5,19.5,Month-to-month,No
12,20.3,224.5,Two year,No
72,19.3,1414.8,Two year,No
2,20.3,41.2,Month-to-month,No
34,89.85,3091.75,Month-to-month,Fiber optic
37,40.55,1390.85,Two year,DSL
58,89.85,5125.75,One year,Fiber optic
1,45.55,45.55,Month-to-month,DSL
1,71.25,71.25,Month-to-month,Fiber optic
1,50.45,50.45,Month-to-month,DSL
72,68.15,4808.7,Two year,DSL
12,29.3,355.9,Month-to-month,DSL
2,19.5,31.55,Month-to-month,No
47,19.65,921.55,Two year,No
6,44.6,260.8,Month-to-month,DSL
60,53.6,3237.05,Two year,DSL
2,83.8,163.7,Month-to-month,Fiber optic
51,83.85,4307.1,Two year,DSL
72,109.55,7887.25,Two year,Fiber optic
72,85.25,6083.1,Two year,DSL
52,23.05,1255.1,Two year,No
71,93.2,6506.15,Two year,DSL
28,25.55,672.2,One year,No
71,46.35,3353.4,Two year,DSL
68,99.55,6668,Two year,Fiber optic
1,70.35,70.35,Month-to-month,Fiber optic
11,89.2,990.3,Month-to-month,Fiber optic
3,56.15,168.15,Month-to-month,DSL
61,103.3,6518.35,One year,Fiber optic
6,75.5,438,Month-to-month,Fiber optic
46,53.1,2459.8,Month-to-month,DSL
50,70.35,3533.6,Two year,Fiber optic
69,104.05,7262,One year,Fiber optic
38,85.4,3297,Two year,DSL
3,74.25,210.3,Month-to-month,Fiber optic
68,89.6,6127.6,Month-to-month,Fiber optic
25,20.8,460.2,Month-to-month,No
18,99.75,1836.25,Month-to-month,Fiber optic
7,85.2,602.55,Month-to-month,Fiber optic
65,59.95,3921.1,Two year,DSL
12,19.3,228.75,One year,No
1,24.8,24.8,Month-to-month,DSL
18,19.0,348.8,Month-to-month,No
64,85.0,5484.4,Two year,DSL
26,86.65,2208.75,Month-to-month,Fiber optic
4,89.6,365.65,Month-to-month,Fiber optic
71,54.5,3778.2,Two year,DSL
49,59.75,2934.3,Month-to-month,DSL
7,86.8,620.35,Month-to-month,Fiber optic
35,110.8,3836.3,One year,Fiber optic
1,70.3,70.3,Month-to-month,Fiber optic
6,89.3,577.6,Month-to-month,Fiber optic
25,90.4,2178.6,One year,Fiber optic
13,53.45,718.1,Month-to-month,DSL
9,54.55,494.05,Month-to-month,DSL
72,84.9,6065.3,Two year,DSL
22,78.65,1663.75,One year,DSL
33,80.6,2651.1,Two year,Fiber optic
18,58.4,964.9,Month-to-month,DSL
34,77.2,2753.8,One year,DSL
6,90.1,521.3,Month-to-month,Fiber optic
24,21.05,531.55,One year,No
15,93.35,1444.65,Month-to-month,Fiber optic
63,105.4,6713.2,Month-to-month,Fiber optic
4,69.35,261.65,Month-to-month,Fiber optic
66,70.85,4738.85,One year,DSL
42,20.35,869.9,Month-to-month,No
4,80.25,303.7,Month-to-month,Fiber optic
26,100.5,2599.95,Month-to-month,Fiber optic
39,81.9,3219.75,One year,Fiber optic
70,19.85,1328.35,Two year,No
3,55.15,159.15,Month-to-month,DSL
53,85.45,4517.25,Month-to-month,Fiber optic
2,45.0,89.75,Month-to-month,DSL
